Store,Phone,owner/manager's name,notes,Status,CONSOLIDATED_emails_valid,result,BEST_province,BEST_city,BEST_street,BEST_postal_code,INFO_email_status,emails/0,emails/1,email_found,domain,website,location/lat,location/lng,facebooks/0,instagrams/0,tiktoks/0,youtubes/0,
All Pets,416-901-7387,Emmanuel,Spoke with employee Abraham and provided email to send info,Qualified,allpetstoronto@gmail.com,ok,ON,Toronto,528 Church St,M4Y 1C5,good,allpetstoronto@gmail.com,,,allpetstoronto.com,,43.6648174,-79.3807465,,,,,
Armstrong's Home Hardware,905-692-4415,Glen - Manager,Spoke with Chester (employee). Manager is not in the shop and not sure when they will be in. Does not know their email address.,Qualified,,,ON,Binbrook,2400 Hwy #56,L0R 1C0,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.133648,-79.775516",,,,,,,
"AsharioPets – Organic Pet Store & Supplies – North York, Woodbridge, Richmond Hill, Toronto, Vaughan",647-564-4433,Ashario,Waiting for email response,Qualified,,invalid,ON,North York,1111A Finch Ave W unit 2,M3J 2P7,bad,info@ashariopets.com,,,ashariopets.ca,,43.7666086,-79.475268,,,,,
B&B Pet Supplies,519-348-4023,Curtis,Sent us an email. Responded,Qualified,bbpetsupplies@gmail.com,ok,ON,Mitchell,51 Ontario Rd,N0K 1N0,,,,NONE_FOUND,bbpetsupplies.ca,,,,,,,,
Bark & Fitz,403-932-9066,Jen - Manager,Spoke with Phoebe (employee). Jen will be in Friday at 9:30 - 5:30. ,Qualified,franchising@greenhawk.com,,AB,Cochrane,14 Railway St. East,T4C 2B5,,,,franchising@greenhawk.com,barkandfitz.net,,,,,,,,
Bark & Purr Pet Pantry,"403-596-4501, 403-864-0794","Jamie - Owner, Suzanne - Manager",Spoke with owner but out of town. Advised to contact shop  403-864-0794 and send email to jamie@barkandpurrpetpantry.com,Qualified,"info@barkandpurrpetpantry.com, jamie@barkandpurrpetpantry.com       ",risky,AB,Sylvan Lake,410 - 3715 47th Avenue,T4S 0C8,,,,info@barkandpurrpetpantry.com,barkandpurrpetpantry.com,,,,,,,,
Bark N Scratch Pet Foods Ltd,416-424-2411,Ray,Waiting for email response,Qualified,"barknscratchpet@gmail.com, barknscratch@yahoo.com",ok,ON,Toronto,2404 Danforth Ave,M4C 1K7,good,barknscratchpet@gmail.com,barknscratch@yahoo.com,,barknscratch.ca,,43.6875293,-79.3055371,https://www.facebook.com/BARK-N-SCRATCH-PET-FOODS-LTD-761409250653598,,,,
Barkhouse Pet,519-924-0202,Keith,,Qualified,barkhousepet@gmail.com,ok,ON,Eugenia,194418 Grey rd 13,N0C1E0,,,,INVALID_URL,,"https://maps.google.com/maps?q=44.3197574,-80.5232338",,,,,,,
Bayshore Country Feeds,519-376-5830,Doug ,"Spoke with Jeff, interested in getting email.",Qualified,feed@bmts.com,,ON,Owen Sound,1304 2Nd Ave East,N4K 2J4,,,,feed@bmts.com,bayshorefeeds.ca,,,,,,,,
Best West,"204-728-0661, 204-326-9339",Jamie - District Manager,Called back spoke with Jaime. Asked for us to send the email.,Qualified,jamie@bestwest.ca,ok,MB,Steinbach,1568 Main St,R5G 1Z1,good,jamie@bestwest.ca,,,bestwest.ca,,49.9303073,-97.1228365,https://www.facebook.com/BWPFBrandonMB,https://www.instagram.com/bestwestpetfoods,https://www.tiktok.com/@best.west.pet.foods,,
